publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Cerebral Cortex	1047-3211	1460-2199	1991	1		2015	25		http://cercor.oxfordjournals.org		cercor		fulltext		Oxford University Press	serial								
Chemical Senses	0379-864X	1464-3553	1974	1		2015	40		http://chemse.oxfordjournals.org		chemse		fulltext		Oxford University Press	serial								
Journal of Chromatographic Science	0021-9665	1945-239X	1963	34		2015	53		http://jcs.oxfordjournals.org		chromsci		fulltext		Oxford University Press	serial								
Clinical Infectious Diseases	1058-4838	1537-6591	1979	22		2015	61		http://cid.oxfordjournals.org		cid		fulltext		The University of Chicago Press	serial								
Current Legal Problems	0070-1998	2044-8422	1948	1		2015	68		http://clp.oxfordjournals.org		clp		fulltext		Oxford University Press	serial								
ITNOW	1746-5702	1746-5710	1995	37		2015	57		http://itnow.oxfordjournals.org		combul		fulltext		Oxford University Press	serial								
The Computer Journal	0010-4620	1460-2067	1958	1		2015	58		http://comjnl.oxfordjournals.org		computer_journal		fulltext		Oxford University Press	serial								
Contributions to Political Economy	0277-5921	1464-3588	1982	1		2015	34		http://cpe.oxfordjournals.org		conpec		fulltext		Oxford University Press	serial								
British Journal of Criminology	0007-0955	1464-3529	1960	1		2015	55		http://bjc.oxfordjournals.org		crimin		fulltext		Oxford University Press	serial								
Children & Schools	1532-8759	1545-682X	1978	1		2015	37		http://cs.oxfordjournals.org		cs		fulltext		Oxford University Press	serial								
Journal of Design History	0952-4649	1741-7279	1988	1		2015	28		http://jdh.oxfordjournals.org		design		fulltext		Oxford University Press	serial								
Diplomatic History	0145-2096	1467-7709	1977	1		2015	39		http://dh.oxfordjournals.org		dh		fulltext		Blackwell Publishing Ltd	serial								
Digital Scholarship in the Humanities	2055-7671	2055-768X	2015	30		2015	30		http://dsh.oxfordjournals.org		dsh		fulltext		Oxford University Press	serial								
Early Music	0306-1078	1741-7260	1973	1		2015	43		http://em.oxfordjournals.org		earlyj		fulltext		Oxford University Press	serial								
Economic Policy	0266-4658	1468-0327	1985	18		2015	30		http://economicpolicy.oxfordjournals.org		economicpolicy		fulltext		Oxford University Press	serial								
Oxford Review of Economic Policy	0266-903X	1460-2121	1985	1		2015	31		http://oxrep.oxfordjournals.org		ecopol		fulltext		Oxford University Press	serial								
Environmental Entomology	0046-225X	1938-2936	1972	25		2015	44		http://ee.oxfordjournals.org		ee		fulltext		Oxford University Press	serial								
European Journal of Cardio-Thoracic Surgery	1010-7940	1873-734X	1981	1		2015	48		http://ejcts.oxfordjournals.org		ejcts		fulltext		Elsevier Science B.V.	serial								
ELT Journal	0951-0893	1477-4526	1946	1		2015	69		http://eltj.oxfordjournals.org		eltj		fulltext		Oxford University Press	serial								
The English Historical Review	0013-8266	1477-4534	1886	1		2015	130		http://ehr.oxfordjournals.org		enghis		fulltext		Oxford University Press	serial								
English	0013-8215	1756-1124	1936	1		2015	64		http://english.oxfordjournals.org		english		fulltext		The English Association	serial								
Journal of Environmental Law	0952-8873	1464-374X	1989	1		2015	27		http://jel.oxfordjournals.org		envlaw		fulltext		Oxford University Press	serial								
The European Journal of Orthodontics	0141-5387	1460-2210	1979	1		2015	37		http://ejo.oxfordjournals.org		eortho		fulltext		Oxford University Press	serial								
Epidemiologic Reviews	0193-936X	1478-6729	1997	19		2015	37		http://epirev.oxfordjournals.org		epirev		fulltext		Oxford University Press	serial								
European Review of Agricultural Economics	0165-1587	1464-3618	1973	1		2015	42		http://erae.oxfordjournals.org		erae		fulltext		Oxford University Press	serial								
Essays in Criticism	0014-0856	1471-6852	1951	1		2015	65		http://eic.oxfordjournals.org		escrit		fulltext		Oxford University Press	serial								
European Heart Journal	0195-668X	1522-9645	1980	1		2015	36		http://eurheartj.oxfordjournals.org		eurheartj		fulltext		Oxford University Press	serial								
The European Journal of Public Health	1101-1262	1464-360X	1991	1		2015	25		http://eurpub.oxfordjournals.org		eurpub		fulltext		Oxford University Press	serial								
European Sociological Review	0266-7215	1468-2672	1985	1		2015	31		http://esr.oxfordjournals.org		eursoj		fulltext		Oxford University Press	serial								
Journal of Experimental Botany	0022-0957	1460-2431	1950	1		2015	66		http://jxb.oxfordjournals.org		exbotj		fulltext		Oxford University Press	serial								
Family Practice	0263-2136	1460-2229	1984	1		2015	32		http://fampra.oxfordjournals.org		famprj		fulltext		Oxford University Press	serial								
FEMS Microbiology Ecology		1574-6941	1985	19		2015	91		http://femsec.oxfordjournals.org		femsec		fulltext		Blackwell Publishing Ltd	serial								
FEMS Microbiology Letters	0378-1097	1574-6968	1977	135		2015	362		http://femsle.oxfordjournals.org		femsle		fulltext		Blackwell Publishing Ltd	serial								
Pathogens and Disease	2049-632X		1988	70		2015	73		http://femspd.oxfordjournals.org		femspd		fulltext		Blackwell Publishing Ltd	serial								
FEMS Microbiology Reviews		1574-6976	1985	18		2015	39		http://femsre.oxfordjournals.org		femsre		fulltext		Blackwell Publishing Ltd	serial								
Forestry	0015-752X	1464-3626	1940	14		2015	88		http://forestry.oxfordjournals.org		foresj		fulltext		Oxford University Press	serial								
Forum for Modern Language Studies	0015-8518	1471-6860	1965	1		2015	51		http://fmls.oxfordjournals.org		formod		fulltext		Oxford University Press	serial								
French Studies Bulletin	0262-2750	1748-9180	1981	1		2015	36		http://fsb.oxfordjournals.org		frebul		fulltext		Oxford University Press	serial								
French History	0269-1191	1477-4542	1987	1		2015	29		http://fh.oxfordjournals.org		french		fulltext		Oxford University Press	serial								
French Studies	0016-1128	1468-2931	1947	1		2015	69		http://fs.oxfordjournals.org		frestu		fulltext		Oxford University Press	serial								
The Journals of Gerontology Series A: Biological Sciences and Medical Sciences	1079-5006	1758-535X	1995	50		2015	70		http://biomedgerontology.oxfordjournals.org		gerona		fulltext		Oxford University Press	serial								
The Journals of Gerontology Series B: Psychological Sciences and Social Sciences	1079-5014	1758-5368	1995	50		2015	70		http://psychsocgerontology.oxfordjournals.org		geronb		fulltext		Oxford University Press	serial								
The Gerontologist	0016-9013	1758-5341	1961	1		2015	55		http://gerontologist.oxfordjournals.org		geront		fulltext		Oxford University Press	serial								
German History	0266-3554	1477-089X	1984	1		2015	33		http://gh.oxfordjournals.org		gh		fulltext		Oxford University Press	serial								
Geophysical Journal International	0956-540X	1365-246X	1958	124		2015	203		http://gji.oxfordjournals.org		gji		fulltext		Blackwell Publishing Ltd	serial								
Glycobiology	0959-6658	1460-2423	1990	1		2015	25		http://glycob.oxfordjournals.org		glycob		fulltext		Oxford University Press	serial								
Health Education Research	0268-1153	1465-3648	1986	1		2015	30		http://her.oxfordjournals.org		healed		fulltext		Oxford University Press	serial								
Health Policy and Planning	0268-1080	1460-2237	1986	1		2015	30		http://heapol.oxfordjournals.org		heapol		fulltext		Oxford University Press	serial								
Health Promotion International	0957-4824	1460-2245	1986	1		2015	30		http://heapro.oxfordjournals.org		heapro		fulltext		Oxford University Press	serial								
Journal of the History of Collections	0954-6650	1477-8564	1989	11		2015	27		http://jhc.oxfordjournals.org		hiscol		fulltext		Oxford University Press	serial								
History Workshop Journal	1363-3554	1477-4569	1976	1		2015			http://hwj.oxfordjournals.org		hiwork		fulltext		Oxford University Press	serial								
Human Molecular Genetics	0964-6906	1460-2083	1992	1		2015	24		http://hmg.oxfordjournals.org		hmg		fulltext		Oxford University Press	serial								
Holocaust and Genocide Studies	8756-6583	1476-7937	1986	1		2015	29		http://hgs.oxfordjournals.org		holgen		fulltext		Oxford University Press	serial								
Health & Social Work	0360-7283	1545-6854	1981	1		2015	40		http://hsw.oxfordjournals.org		hsw		fulltext		Oxford University Press	serial								
Human Reproduction	0268-1161	1460-2350	1986	1		2015	30		http://humrep.oxfordjournals.org		humrep		fulltext		Oxford University Press	serial								
Human Reproduction Update	1355-4786	1460-2369	1995	1		2015	21		http://humupd.oxfordjournals.org		humupd		fulltext		Oxford University Press	serial								
Integrative and Comparative Biology	1540-7063	1557-7023	1961	1		2015	55		http://icb.oxfordjournals.org		icb		fulltext		Oxford University Press	serial								
ICES Journal of Marine Science	1054-3139	1095-9289	1903	1		2015	72		http://icesjms.oxfordjournals.org		icesjms		fulltext		Oxford University Press	serial								
ICSID Review	0258-3690	2049-1999	1986	12		2015	30		http://icsidreview.oxfordjournals.org		icsidreview		fulltext		Oxford University Press	serial								
Logic Journal of IGPL	1367-0751	1368-9894	1993	1		2015	23		http://jigpal.oxfordjournals.org		igpl		fulltext		Oxford University Press	serial								
International Journal of Epidemiology	0300-5771	1464-3685	1975	1		2015	44		http://ije.oxfordjournals.org		ije		fulltext		Oxford University Press	serial								
IMA Journal of Management Mathematics	1471-678X	1471-6798	1986	1		2015	26		http://imaman.oxfordjournals.org		imaman		fulltext		Oxford University Press	serial								
IMA Journal of Applied Mathematics	0272-4960	1464-3634	1965	1		2015	80		http://imamat.oxfordjournals.org		imamat		fulltext		Oxford University Press	serial								
IMA Journal of Mathematical Control and Information	0265-0754	1471-6887	1984	1		2015	32		http://imamci.oxfordjournals.org		imamci		fulltext		Oxford University Press	serial								
Mathematical Medicine and Biology: A Journal of the IMA	1477-8599	1477-8602	1984	1		2015	32		http://imammb.oxfordjournals.org		imammb		fulltext		Oxford University Press	serial								
IMA Journal of Numerical Analysis	0272-4979	1464-3642	1981	1		2015	35		http://imajna.oxfordjournals.org		imanum		fulltext		Oxford University Press	serial								
International Mathematics Research Notices	1073-7928	1687-0247	1991			2015			http://imrn.oxfordjournals.org		imrn		fulltext		Oxford University Press	serial								
Industrial and Corporate Change	0960-6491	1464-3650	1992	1		2015	24		http://icc.oxfordjournals.org		indcor		fulltext		Oxford University Press	serial								
Industrial Law Journal	0305-9332	1464-3669	1972	1		2015	44		http://ilj.oxfordjournals.org		indlaw		fulltext		Oxford University Press	serial								
International Immunology	0953-8178	1460-2377	1989	1		2015	27		http://intimm.oxfordjournals.org		intimm		fulltext		Oxford University Press	serial								
International Journal of Public Opinion Research	0954-2892	1471-6909	1989	1		2015	27		http://ijpor.oxfordjournals.org		intpor		fulltext		Oxford University Press	serial								
International Journal for Quality in Health Care	1353-4505	1464-3677	1989	1		2015	27		http://intqhc.oxfordjournals.org		intqhc		fulltext		Oxford University Press	serial								
International Journal of Law and Information Technology	0967-0769	1464-3693	1993	1		2015	23		http://ijlit.oxfordjournals.org		inttec		fulltext		Oxford University Press	serial								
Journal of Islamic Studies	0955-2340	1471-6917	1990	1		2015	26		http://jis.oxfordjournals.org		islamj		fulltext		Oxford University Press	serial								
Interdisciplinary Studies in Literature and Environment	1076-0962	1759-1090	1993	1		2015	22		http://isle.oxfordjournals.org		isle		fulltext		University of Nevada Press	serial								
Interacting with Computers	0953-5438	1873-7951	1989	1		2015	27		http://iwc.oxfordjournals.org		iwc		fulltext		Oxford University Press	serial								
Journal of the American Academy of Religion	0002-7189	1477-4585	1933	1		2015	83		http://jaar.oxfordjournals.org		jaarel		fulltext		Oxford University Press	serial								
Journal of Antimicrobial Chemotherapy	0305-7453	1460-2091	1975	1		2015	70		http://jac.oxfordjournals.org		jac		fulltext		Oxford University Press	serial								
Journal of African Economies	0963-8024	1464-3723	1992	1		2015	24		http://jae.oxfordjournals.org		jafeco		fulltext		Oxford University Press	serial								
The Journal of American History	0021-8723	1945-2314	1914	83		2015	102		http://jahist.oxfordjournals.org		jahist		fulltext		Organization of American Historians	serial								
Journal of the History of Medicine and Allied Sciences	0022-5045	1468-4373	1946	1		2015	70		http://jhmas.oxfordjournals.org		jalsci		fulltext		Oxford University Press	serial								
